region,comuna,latitud,longitud,trazabilidad__region,trazabilidad__comuna,LER,tratamiento_n1_name,cantidad_toneladas
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Tiltil,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,2.04
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Ñuble,Chillan Viejo,20 01 39 | Plásticos,Eliminación,0.15
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Tiltil,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,2.39
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Ñuble,Chillan Viejo,20 01 39 | Plásticos,Eliminación,0.31
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Tiltil,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,3.18
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,La Pintana,20 01 38 | Madera distinta de la especificada en el código 20 01 37,Recepción y Almacenamiento,3.52
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,La Pintana,20 01 01 | Papel y cartón,Valorización,0.58
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Tiltil,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,2.57
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Ñuble,Chillan Viejo,20 01 39 | Plásticos,Eliminación,0.3
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Tiltil,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,3.41
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,La Pintana,20 01 38 | Madera distinta de la especificada en el código 20 01 37,Recepción y Almacenamiento,3.38
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Lampa,20 01 39 | Plásticos,Recepción y Almacenamiento,1.89
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Tiltil,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,2.69
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,La Pintana,20 01 01 | Papel y cartón,Valorización,0.48
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Ñuble,Chillan Viejo,20 01 39 | Plásticos,Eliminación,0.27
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Tiltil,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,2.45
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Pudahuel,20 02 01 | Residuos biodegradables,Valorización,4.64
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Tiltil,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,3.92
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,La Pintana,20 01 01 | Papel y cartón,Valorización,0.21
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Ñuble,Chillan Viejo,20 01 39 | Plásticos,Eliminación,0.66
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Tiltil,20 03 99 | Residuos municipales no especificados en otra categoría,Eliminación,1.33
Metropolitana de Santiago,Lampa,-33.280482337308,-70.747502007654,Metropolitana de Santiago,Pudahuel,20 02 01 | Residuos biodegradables,Valorización,0.93
